Index,Model,Price,specs,gen,Core_Thread,RAM,Storage,Graphics,display,os,Warranty
896,Lenovo Ideapad Flex 5 82HS015PIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹62,500",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
897,Lenovo ThinkPad E15 20TDS0TA00 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),"₹71,300",60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
898,Lenovo IdeaPad Flex 5 81X10087IN Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win10 Home),"₹66,000",65,10th Gen Intel Core i5 1005G1,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 10 OS,1 Year Warranty
899,Dell Vostro 5320 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹78,990",,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UMA,"13.3 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
900,Dell XPS 13 Plus Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹1,71,000",69,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"13.4 inches, 3840 x 2400 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
901,Acer Nitro 5 AN515-46 Laptop (AMD Ryzen 5 6600H/ 8GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹99,990",76,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS
902,Acer Aspire 3 A315-23 Laptop (Ryzen 5 3500U/ 16GB/ 512GB SSD/ Win11 Home),"₹51,500",,3rd Gen AMD Ryzen 5  3500U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
903,Acer Aspire 5 A515-45-R1YC Laptop (Ryzen 5 5500U/ 8GB/ 256GB SSD/ Win10),"₹44,990",,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
904,Acer Nitro 5 AN515-46 Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,29,990",,,,,,,,,
905,HP Omen 16-C0136AX Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹75,299",72,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"16.1 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
